Northern California,New York,Kansas,Texas,Hawaii,Banner,UPC
63.12,56.01,53.86,54.34,,Walmart,421176959
45.85,40.7,39.14,,,Walmart,690308756
58.31,51.87,,50.25,,Walmart,350639776
48.4,42.91,41.24,,,Walmart,688174297
27.95,24.76,,24.04,,Walmart,654483249
50.45,44.76,43.02,43.46,,Walmart,162356142
61.91,,52.76,53.34,,Walmart,835193761
54.92,48.77,46.83,47.34,,Walmart,801329171
39.44,35.04,33.62,33.94,,Walmart,958194401
54.16,,,46.67,,Walmart,534498710
39.26,34.86,,,,Walmart,441453292
59.52,52.81,,51.2,,Walmart,591915659
54.65,48.45,46.53,47.05,,Walmart,441947799
25.15,22.37,21.43,21.7,,Walmart,399409590
8.37,7.47,,,,Walmart,748626363
54.24,48.13,,,,Walmart,429624919
56.62,50.25,,48.87,,Walmart,305207870
3.82,3.37,,3.24,,Walmart,701377201
23.73,21.13,,,,Walmart,728311671
2.12,1.81,1.86,,,Walmart,375780233
41.21,,35.12,35.55,,Walmart,310210791
56.02,,47.86,48.26,,Walmart,83141336
48.91,43.4,41.77,,,Walmart,791901779
41.42,36.77,35.32,,,Walmart,314205929
15.12,13.42,12.91,13.05,,Walmart,373709792
43.5,38.66,,,,Walmart,74029795
59.9,53.16,51.07,,,Walmart,506238955
12.8,11.42,10.9,11.15,,Walmart,44385546
34.71,30.81,29.6,,,Walmart,240924482
5.62,4.92,,,,Walmart,861024387
44.61,39.66,38.0,38.41,,Walmart,804094528
25.17,22.37,21.41,,,Walmart,856554674
34.94,31.05,29.87,,,Walmart,248544810
33.33,29.6,28.45,28.72,,Walmart,57394222
42.93,38.01,36.67,36.97,,Walmart,414105716
50.76,44.9,43.26,43.63,,Walmart,698731992
48.22,42.82,41.16,,,Walmart,764458897
36.14,32.07,30.73,,,Walmart,66025021
25.96,23.06,,22.32,,Walmart,365630841
54.46,48.32,46.4,,,Walmart,534500231
26.71,23.75,22.8,23.06,,Walmart,966125119
40.42,35.8,34.46,34.82,,Walmart,303748850
59.46,,50.77,,,Walmart,111650456
5.67,5.02,4.86,,,Walmart,16999755
33.03,29.21,28.11,28.47,,Walmart,486482090
13.45,11.95,11.51,11.65,,Walmart,634830299
28.13,25.02,24.06,24.26,,Walmart,488091787
21.15,,18.05,18.27,,Walmart,588225773
40.24,35.71,,,,Walmart,238497653
2.42,2.21,,2.13,,Walmart,200021055
31.37,27.84,,,,Walmart,430094535
33.4,29.65,28.57,28.85,,Walmart,526212256
21.36,18.97,18.17,18.31,,Walmart,557031026
54.52,48.43,46.56,,,Walmart,980150388
36.75,,,31.64,,Walmart,831054514
47.62,42.2,,41.02,,Walmart,965370690
41.96,37.24,,,,Walmart,758967619
55.46,49.27,47.26,47.75,,Walmart,300702726
9.75,8.6,,8.47,,Walmart,768628469
28.55,25.33,,,,Walmart,200282631
12.21,10.8,,10.57,,Walmart,835966795
8.55,7.53,7.26,7.36,,Walmart,21872584
43.73,38.84,,,,Walmart,583814806
13.97,12.35,11.81,12.02,,Walmart,426268457
45.66,40.54,38.96,,,Walmart,865020811
28.43,25.26,24.36,24.5,,Walmart,840138489
7.95,7.01,,,,Walmart,477638150
45.52,40.37,38.84,39.2,,Walmart,938758588
58.36,51.71,49.75,,,Walmart,966807089
28.57,25.35,24.35,24.62,,Walmart,574404121
3.33,3.0,2.9,2.96,,Walmart,69037528
47.33,42.03,,,,Walmart,200809424
55.36,49.12,,47.64,,Walmart,820540489
61.95,54.95,,53.37,,Walmart,377365657
10.3,9.23,8.8,8.92,,Walmart,905792642
3.22,2.95,,2.81,,Walmart,17066659
13.57,12.03,,,,Walmart,952635660
43.15,,36.7,37.17,,Walmart,508453812
25.9,23.06,22.11,22.36,,Walmart,47158754
2.0,1.83,,1.8,,Walmart,285638116
44.11,,,38.0,,Walmart,571419391
41.67,,,35.84,,Walmart,678530217
13.77,12.11,,11.83,,Walmart,387815880
60.66,53.73,51.64,,,Walmart,797375865
24.92,22.16,,,,Walmart,993910240
55.77,49.45,47.54,,,Walmart,298650567
59.1,52.56,50.42,,,Walmart,112817865
39.81,35.34,,34.31,,Walmart,988776021
27.74,24.65,23.7,23.94,,Walmart,23493525
48.01,42.66,40.94,,,Walmart,323385020
57.15,50.74,48.75,49.2,,Walmart,899956196
37.12,,31.67,31.92,,Walmart,529968586
18.2,,,15.61,,Walmart,922747986
35.52,31.53,30.31,30.61,,Walmart,743414051
59.7,53.03,50.9,51.4,,Walmart,295208432
28.33,25.11,24.23,24.45,,Walmart,450309449
62.11,55.15,,,,Walmart,456113225
42.11,37.37,,,,Walmart,808274867
34.04,30.21,29.07,,,Walmart,476935693
30.72,27.26,,,,Walmart,361609713
6.82,6.05,,,,Walmart,311625369
59.67,,50.8,,,Walmart,461128883
17.9,15.87,,,,Walmart,917211564
25.6,22.84,21.97,22.17,,Walmart,627416688
59.91,53.1,,,,Walmart,884354350
60.46,53.61,51.57,,,Walmart,881539712
34.0,30.14,29.07,,,Walmart,299791600
41.45,36.84,35.32,35.74,,Walmart,292740862
8.06,7.11,6.94,6.93,,Walmart,672429356
16.23,14.3,13.83,,,Walmart,306887951
23.4,,,20.16,,Walmart,110497121
26.21,23.31,22.37,,,Walmart,441772088
31.73,28.12,,,,Walmart,764530996
28.51,25.3,24.34,,,Walmart,400625108
45.01,39.97,,38.72,,Walmart,193724353
40.81,36.23,,35.16,,Walmart,383193164
1.77,1.5,1.52,,,Walmart,762004012
26.32,23.31,22.4,,,Walmart,878698622
6.85,6.07,5.83,,,Walmart,643629043
3.16,2.84,,2.73,,Walmart,864093895
8.06,7.1,,,,Walmart,832037986
51.35,45.56,43.84,44.26,,Walmart,887149013
21.36,18.91,,,,Walmart,130186387
34.27,30.4,,29.56,,Walmart,107865183
8.44,7.52,7.22,,,Walmart,16729338
31.15,27.63,26.61,,,Walmart,909199429
18.51,16.44,15.83,15.95,,Walmart,726593797
48.62,43.15,,41.95,,Walmart,275219414
58.06,51.52,49.56,50.02,,Walmart,857067649
53.46,47.41,45.52,46.06,,Walmart,681789308
14.6,13.07,12.57,,,Walmart,762977091
42.61,37.84,36.32,,,Walmart,479749486
54.23,48.11,46.27,,,Walmart,702065059
60.43,,,52.15,,Walmart,616240709
27.97,24.72,23.82,24.0,,Walmart,685715810
27.47,24.31,23.42,,,Walmart,57714338
51.62,45.85,,44.43,,Walmart,565229692
12.34,10.92,10.54,10.67,,Walmart,98164748
59.86,53.01,,51.53,,Walmart,445250129
51.04,45.25,43.55,43.91,,Walmart,971923169
39.95,35.42,,,,Walmart,387431034
28.33,,24.1,24.42,,Walmart,641131808
54.02,,46.17,46.54,,Walmart,845893087
59.97,53.23,51.16,51.67,,Walmart,236677062
26.42,23.45,22.57,22.77,,Walmart,376153383
36.65,32.52,31.23,,,Walmart,542244776
50.4,44.72,43.01,,,Walmart,494020899
35.25,31.35,,30.37,,Walmart,182310151
5.51,4.93,4.74,,,Walmart,68034486
16.03,14.22,13.75,,,Walmart,919110708
63.07,55.94,,,,Walmart,768879663
23.07,,19.65,19.83,,Walmart,827352822
12.44,11.0,10.67,,,Walmart,555531366
58.33,,,50.21,,Walmart,899819893
20.2,17.95,,,,Walmart,744486125
31.34,,,,,Walmart,364526351
7.66,6.72,6.57,6.51,,Walmart,744228999
36.36,32.24,30.91,,,Walmart,637601085
63.07,,,,,Walmart,676268953
48.2,42.75,,,,Walmart,980113553
23.4,20.8,,20.2,,Walmart,569684083
55.56,49.25,,,,Walmart,568256903
39.37,,,33.9,,Walmart,354716417
62.86,55.75,53.5,54.11,,Walmart,158953776
60.84,53.92,51.85,,,Walmart,383815591
6.73,,5.8,5.86,,Walmart,338863686
42.83,37.94,,36.83,,Walmart,321130189
34.22,,,29.55,,Walmart,130358296
8.83,7.86,7.5,,,Walmart,371889838
18.92,16.8,16.1,16.36,,Walmart,870721732
59.22,52.52,,50.94,,Walmart,357064541
30.2,26.86,,,,Walmart,55833407
57.13,50.75,,,,Walmart,15052612
25.11,22.3,21.47,,,Walmart,612864775
11.45,10.15,9.7,9.81,,Walmart,26791818
25.92,23.06,,22.36,,Walmart,360754991
39.6,35.13,,34.15,,Walmart,794251522
2.85,2.57,2.4,2.45,,Walmart,70848410
3.17,2.86,,2.7,,Walmart,541222561
50.63,,43.17,,,Walmart,448330081
10.93,9.77,9.33,,,Walmart,477240979
18.02,,15.42,15.52,,Walmart,931390073
61.61,54.76,,53.1,,Walmart,950498192
53.8,,45.95,46.32,,Walmart,273984951
34.63,30.72,29.5,29.84,,Walmart,614172105
30.14,26.76,25.74,,,Walmart,727229928
35.21,31.2,,30.34,,Walmart,240879755
24.11,21.42,20.65,,,Walmart,739054494
54.97,48.75,,,,Walmart,854689154
39.44,,,,,Walmart,966176819
11.74,10.44,,10.12,,Walmart,849299370
8.71,7.73,7.46,,,Walmart,71726448
15.62,13.83,13.34,,,Walmart,826771870
26.03,23.17,22.22,22.44,,Walmart,549109328
58.24,51.66,,50.12,,Walmart,88576101
45.94,,,39.65,,Walmart,583333446
2.8,2.55,2.45,,,Walmart,86858655
32.7,29.15,,28.21,,Walmart,327660050
22.57,20.02,19.26,19.47,,Walmart,447858500
27.31,24.23,,,,Walmart,507203618
21.87,19.42,18.64,,,Walmart,361981249
19.14,16.96,16.31,16.43,,Walmart,525505777
52.54,46.67,,,,Walmart,22976162
61.55,54.61,,,,Walmart,353626798
3.73,3.31,3.26,3.25,,Walmart,376311065
28.97,,,24.93,,Walmart,154602616
3.35,2.95,,2.81,,Walmart,622287285
38.53,34.2,,33.24,,Walmart,376851918
23.37,20.75,19.94,,,Walmart,690451660
17.11,15.14,14.6,14.7,,Walmart,805082512
43.72,,,37.63,,Walmart,285195716
40.3,35.86,34.43,,,Walmart,44276570
38.76,34.45,33.07,,,Walmart,392781848
36.72,32.64,31.36,31.64,,Walmart,73544548
39.67,,33.81,34.1,,Walmart,614290704
29.12,25.93,,25.17,,Walmart,256779462
45.24,40.17,,39.04,,Walmart,514730047
5.26,4.66,,4.53,,Walmart,649976289
61.81,54.87,,,,Walmart,976976235
53.77,47.63,,46.34,,Walmart,451469731
51.5,,,,,Walmart,789649867
47.16,,,,,Walmart,242743338
15.51,13.7,13.27,13.34,,Walmart,574169049
30.54,27.01,,26.24,,Walmart,416414679
33.64,,28.67,,,Walmart,271202170
21.97,,,,,Walmart,641206219
33.17,29.35,28.25,,,Walmart,783399454
53.87,47.73,45.93,46.36,,Walmart,60912855
23.9,21.26,,20.54,,Walmart,105664025
4.66,4.15,,,,Walmart,864128161
31.93,28.35,27.21,27.45,,Walmart,300970093
39.44,35.01,33.65,,,Walmart,451026029
62.51,55.53,53.3,53.84,,Walmart,160430177
26.71,23.76,,,,Walmart,894764703
13.96,12.42,11.91,,,Walmart,930355523
48.05,42.67,,,,Walmart,690392986
32.26,,,27.71,,Walmart,839680734
31.62,28.16,27.07,,,Walmart,332493471
25.32,22.57,,21.84,,Walmart,627807402
60.73,53.82,51.71,52.33,,Walmart,99830442
32.23,28.64,27.56,27.73,,Walmart,19911643
45.22,40.17,,38.95,,Walmart,340260209
51.7,,44.07,44.57,,Walmart,538783344
20.17,17.84,17.14,17.32,,Walmart,852479948
42.9,,,36.97,,Walmart,152181269
3.14,2.81,,2.72,,Walmart,371212986
50.51,,43.15,43.56,,Walmart,62563085
22.2,19.73,,19.11,,Walmart,944430721
61.84,54.91,52.72,,,Walmart,161076622
16.45,14.6,14.05,14.23,,Walmart,907400779
55.06,,,,,Walmart,486230490
50.55,44.82,,43.55,,Walmart,393028851
23.83,21.17,20.35,,,Walmart,612017146
4.94,4.45,4.24,4.37,,Walmart,778682895
59.3,52.62,50.52,51.13,,Walmart,818139689
32.96,,28.06,,,Walmart,541553073
8.51,7.56,7.26,,,Walmart,555173446
53.8,47.74,45.84,,,Walmart,224558960
4.55,4.06,3.83,3.97,,Walmart,484526970
38.17,33.82,32.54,42.79,,Walmart,301161010
2.05,1.83,,,,Walmart,526328901
32.41,28.84,27.66,27.96,,Walmart,165559469
24.57,21.7,20.96,21.17,,Walmart,645331356
23.34,20.65,,,,Walmart,63494206
31.26,27.75,,26.92,,Walmart,354630366
13.81,12.36,11.81,,,Walmart,77045464
17.55,,,15.13,,Walmart,674159443
18.54,,15.86,15.96,,Walmart,144575642
21.14,18.73,,18.21,,Walmart,124052151
25.12,22.23,21.45,21.61,,Walmart,509056495
55.64,49.31,,,,Walmart,242277190
60.69,,,52.29,,Trader Joes,26959766
33.69,29.89,28.69,28.99,,Trader Joes,228431403
45.39,,,39.09,,Trader Joes,947534594
63.99,56.79,,55.09,,Trader Joes,99830442
50.79,44.99,,43.69,,Trader Joes,963229417
21.49,19.09,,18.59,,Trader Joes,543464804
22.79,,,19.59,,Trader Joes,106365705
3.39,,,2.99,,Trader Joes,622287285
62.39,,,53.69,,Trader Joes,357064541
9.59,,,8.29,,Trader Joes,27595398
28.39,,,24.49,,Trader Joes,388197861
27.09,23.99,23.09,23.29,,Trader Joes,473279874
33.69,,28.79,29.09,,Trader Joes,375916960
44.89,,,38.59,,Trader Joes,864892235
15.39,,,13.29,,Trader Joes,978164640
12.89,,,11.09,,Trader Joes,835966795
5.59,,,4.79,,Trader Joes,449986246
12.19,,,10.49,,Trader Joes,62068892
15.39,,,13.29,,Trader Joes,762977091
30.99,27.49,,26.69,,Trader Joes,283434497
30.49,,,26.29,,Trader Joes,654081535
30.09,,,,,Trader Joes,400625108
25.09,,,21.59,,Trader Joes,612017146
37.09,,,,,Trader Joes,182310151
14.39,12.79,12.29,12.39,,Trader Joes,581030587
48.79,43.29,,41.99,,Trader Joes,790347148
9.99,,,8.59,,Trader Joes,526069074
53.19,47.19,,45.79,,Trader Joes,246582548
34.19,,,29.39,,Trader Joes,696954302
41.29,36.59,35.19,35.59,,Trader Joes,883713851
36.09,32.09,,31.09,,Trader Joes,698510708
55.09,,,47.39,,Trader Joes,742030365
21.49,,18.29,18.49,,Trader Joes,554043945
4.69,4.19,3.99,4.09,,Trader Joes,484526970
45.79,,38.99,,,Trader Joes,555275616
45.09,40.09,,38.89,,Trader Joes,995745822
39.59,35.19,,34.09,,Trader Joes,460807284
59.09,52.39,,50.89,,Trader Joes,83141336
62.49,,,53.79,,Trader Joes,987411986
19.49,,,,,Trader Joes,726593797
5.89,,,5.09,,Trader Joes,363196884
4.59,4.09,,3.99,,Trader Joes,822316142
34.99,,29.79,30.09,,Trader Joes,915191199
32.79,,,,,Trader Joes,716383928
66.49,,,57.29,,Trader Joes,421176959
28.59,25.39,,24.59,,Trader Joes,186497742
23.49,,,20.19,,Trader Joes,631749882
32.49,28.79,,27.99,,Trader Joes,535286391
3.39,2.99,,2.99,,Trader Joes,906234211
26.49,,22.59,22.79,,Trader Joes,399409590
8.79,,7.49,7.59,,Trader Joes,737000536
18.09,16.09,,15.59,,Trader Joes,896974529
64.19,,,55.29,,Trader Joes,876898615
54.59,48.39,46.49,46.99,,Trader Joes,269161785
4.89,4.29,4.19,4.19,,Trader Joes,864128161
65.89,58.49,56.19,56.79,,Trader Joes,838460068
29.69,,,25.59,,Trader Joes,488091787
43.39,38.49,,,,Trader Joes,854985252
16.39,,,14.19,,Trader Joes,826771870
23.19,20.59,19.79,19.99,,Trader Joes,58785197
32.09,28.49,27.39,27.69,,Trader Joes,416414679
26.79,23.79,,23.09,,Trader Joes,262051609
15.39,,,13.29,,Trader Joes,251180255
62.19,,,53.59,,Trader Joes,582451335
52.49,,,45.19,,Trader Joes,883647960
46.09,40.89,,39.69,,Trader Joes,332996724
39.39,,,33.89,,Trader Joes,658435562
41.89,37.09,,35.99,,Trader Joes,196109651
33.39,,,28.79,,Trader Joes,327470693
48.69,,,41.89,,Trader Joes,174429227
53.19,,,45.79,,Trader Joes,393028851
63.69,,54.29,54.79,,Trader Joes,881539712
17.99,,,15.49,,Trader Joes,418444428
14.19,12.59,,12.29,,Trader Joes,952635660
59.69,52.99,,51.39,,Trader Joes,305207870
13.49,11.99,,11.69,,Trader Joes,44385546
8.99,7.99,7.69,,,Trader Joes,207648093
61.29,,,52.79,,Trader Joes,88576101
18.39,16.39,15.69,15.89,,Trader Joes,674159443
22.89,20.29,,19.69,,Trader Joes,220433295
5.89,5.29,,5.09,,Trader Joes,886012244
10.19,,,8.79,,Trader Joes,768628469
19.49,17.29,16.69,16.79,,Trader Joes,234033889
45.39,40.29,38.69,39.09,,Trader Joes,112509592
43.89,,37.39,37.79,,Trader Joes,700660531
60.39,,,,,Trader Joes,305310988
32.59,,,27.99,,Trader Joes,16900911
38.09,33.79,,32.79,,Trader Joes,122484761
57.49,,,49.49,,Trader Joes,426540728
53.79,,,46.29,,Trader Joes,337353166
58.69,,,50.59,,Trader Joes,124091247
36.19,,30.79,31.19,,Trader Joes,750854309
20.79,,,17.89,,Trader Joes,441168504
46.19,,,39.79,,Trader Joes,311513952
6.69,,,5.79,,Trader Joes,866698043
16.09,14.29,13.69,13.79,,Trader Joes,325260449
27.39,24.29,23.29,23.59,,Trader Joes,437637358
30.59,27.09,,,,Trader Joes,40555797
39.59,,33.69,34.09,,Trader Joes,860167579
8.89,,7.59,7.59,,Trader Joes,760445497
63.19,,,54.49,,Trader Joes,70124770
28.89,,24.59,,,Trader Joes,894150291
62.79,55.69,53.59,,,Trader Joes,461128883
37.89,33.59,32.29,32.59,,Trader Joes,516205909
44.79,,,38.59,,Trader Joes,312588009
65.19,57.89,,56.19,,Trader Joes,421428384
11.79,10.39,9.99,10.09,,Trader Joes,633357974
27.79,,23.69,23.89,,Trader Joes,376153383
38.69,,32.99,33.39,,Trader Joes,73544548
57.89,51.39,49.29,49.79,,Trader Joes,854689154
37.79,,,32.59,,Trader Joes,842968031
18.09,16.09,,15.59,,Trader Joes,635609352
21.19,,18.09,18.19,,Trader Joes,852479948
1.09,0.99,,0.89,,Trader Joes,278739906
34.49,,,29.69,,Trader Joes,327660050
41.29,36.69,,35.59,,Trader Joes,441453292
46.09,,,39.69,,Trader Joes,187405236
8.39,,7.19,7.19,,Trader Joes,234070455
65.69,58.29,55.99,56.59,,Trader Joes,946880003
15.09,13.39,,,,Trader Joes,437172755
28.49,25.29,,24.49,,Trader Joes,265291556
17.99,,15.29,15.49,,Trader Joes,805082512
5.89,,4.99,,,Trader Joes,861024387
47.59,42.19,,40.99,,Trader Joes,52851370
14.79,,,,,Trader Joes,440219593
30.09,26.69,,25.89,,Trader Joes,714768657
60.19,53.39,,51.89,,Trader Joes,899956196
62.49,,,,,Trader Joes,897021614
50.69,,43.19,43.69,,Trader Joes,904714463
61.69,54.69,52.59,,,Trader Joes,533704030
3.29,,,2.89,,Trader Joes,699701113
27.39,,,23.59,,Trader Joes,859607186
35.09,31.09,,30.19,,Trader Joes,325885139
47.89,,40.89,,,Trader Joes,842621232
31.79,,,27.39,,Trader Joes,472559312
21.89,,18.69,18.89,,Trader Joes,677674656
27.39,,,23.59,,Trader Joes,912415151
16.29,14.49,,13.99,,Trader Joes,574169049
42.59,,,36.69,,Trader Joes,509419735
9.09,,7.79,7.89,,Trader Joes,850719150
45.39,40.29,38.69,39.09,,Trader Joes,541944658
33.89,,,29.19,,Trader Joes,839680734
6.09,5.49,,5.29,,Trader Joes,238245641
11.99,10.59,10.19,10.29,,Trader Joes,708247357
62.39,,,53.69,,Trader Joes,65837987
57.39,50.89,,49.39,,Trader Joes,534500231
50.89,,,43.79,,Trader Joes,325836526
33.99,30.09,28.99,29.19,,Trader Joes,19911643
44.19,,37.59,37.99,,Trader Joes,514912132
23.09,,,19.89,,Trader Joes,641206219
25.29,,,,,Trader Joes,967167461
37.49,33.29,31.99,32.29,,Trader Joes,333664376
49.89,,42.49,42.99,,Trader Joes,298558534
24.59,21.79,,21.09,,Trader Joes,711957058
50.79,,43.29,43.69,,Trader Joes,980113553
5.89,,,5.09,,Trader Joes,16999755
44.89,,38.29,38.69,,Trader Joes,479749486
16.69,14.89,14.29,14.39,,Trader Joes,338728090
33.39,,,28.69,,Trader Joes,332493471
16.49,14.59,14.09,14.19,,Trader Joes,470692001
3.99,3.59,,,,Trader Joes,798625113
29.39,,,25.29,,Trader Joes,654483249
8.89,7.89,7.59,7.69,,Trader Joes,16729338
2.09,1.79,,1.79,,Trader Joes,355520088
1.29,,,1.19,,Trader Joes,372268051
53.79,,,46.39,,Trader Joes,477539026
62.49,,,,,Trader Joes,818139689
47.29,41.89,,40.69,,Trader Joes,783899410
40.69,,34.69,34.99,,Trader Joes,774342015
12.99,,11.09,,,Trader Joes,69584995
23.29,20.69,,20.09,,Trader Joes,435304991
0.69,0.59,,,,Trader Joes,198082596
23.59,20.89,,20.29,,Trader Joes,118708197
22.39,,,19.29,,Trader Joes,127821311
13.09,,,,,Trader Joes,555531366
10.09,8.89,,8.69,,Trader Joes,821096485
5.79,5.09,,4.99,,Trader Joes,846637828
65.39,,55.79,56.29,,Trader Joes,269567447
60.59,,51.59,52.19,,Trader Joes,432934258
55.09,,46.99,47.39,,Trader Joes,685061388
56.29,,,48.49,,Trader Joes,681789308
30.69,,,26.49,,Trader Joes,256779462
39.79,,33.99,34.29,,Trader Joes,291765113
64.09,56.79,54.59,55.19,,Trader Joes,383815591
3.39,,,2.89,,Trader Joes,421047592
31.09,27.59,26.49,26.79,,Trader Joes,503341824
